Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg) 
2047 0.220048800808 1.33428682589 -0.0944668389013 -0.400216799344 -0.0290926303838 -0.0439771210397 0.0874343419685 0 0.0514718489442 0 1.02943698 3.39510799 1.07887479 0. 
2048 -0.0275817055976 1.30670512029 -0.045943725685 -0.446160525029 0.0421893018407 -0.00178781919895 0.0858679584889 0 0.0487594293232 0 0.97518859 3.30743019 1.11325587 0. 
2049 0.0846696318028 1.39137475209 -0.0187969559079 -0.464957480937 0.0454597608255 0.0436719416266 0.0929416122253 0 0.0499325152071 0.000797478939768 1.03054946 3.51331173 1.26634854 0.03189916 
2050 0.108202875836 1.49957762793 -0.0412842499052 -0.506241730842 -0.00914990759248 0.0345220340341 0.0988223832189 0 0.0559398979597 0 1.11879796 3.80376997 1.28647456 0. 
2051 -0.120533507695 1.37904412024 -0.0677052001016 -0.573946930944 0.0263603689691 0.0608824030032 0.0959007442095 0 0.0598317775724 0.00418900064588 1.36419558 3.64882897 0.95639898 0.16756003 
2052 -0.147465943682 1.23157817656 -0.0625355665952 -0.636482497539 0.010700734274 0.0715831372772 0.0961792538616 0 0.0625556871601 0.00583331406232 1.48444631 3.6487135 0.83370758 0.23333256 
2053 0.0167810522305 1.24835922879 -0.0927414597835 -0.729223957323 -0.0597066465926 0.0118764906846 0.102962067143 0 0.0734700294794 0 1.46940059 4.19091246 0.88476113 0. 
2054 -0.00219111695776 1.24616811183 -0.104827801399 -0.834051758722 -0.0674294992697 -0.0555530085851 0.106044779006 0 0.0820800203801 0 1.64160041 4.41254368 0.71894276 0. 
2055 -0.0676277863596 1.17854032547 -0.110439105423 -0.944490864145 -0.0198706559593 -0.0754236645444 0.107079699466 0 0.0896010764413 0 1.79202153 4.55640713 0.52435869 0. 
2056 -0.00323489234358 1.17530543313 -0.0675395060858 -1.01203037023 0.0200881765132 -0.0553354880312 0.111668890896 0 0.0920160571348 0 1.84032114 4.73030758 0.58958501 0. 
2057 -0.0536666585107 1.12163877462 -0.0975737778819 -1.10960414811 0.0158019548283 -0.0395335332029 0.113233889725 0 0.10067244269 0 2.01344885 4.90710333 0.37684341 0. 
2058 0.112797022516 1.23443579714 -0.0331552724385 -1.14275942055 0.000719441307441 -0.0388140918955 0.1218143606 0 0.100873556682 0 2.01747113 5.16753417 0.62822412 0. 
2059 -0.0766276146567 1.15780818248 -0.0179219639044 -1.16068138445 0.00344104698595 -0.0353730449096 0.120415604391 0 0.098641634327 0 1.97283269 5.09209265 0.6532191 0. 
2060 -0.166833555456 0.990974627024 -0.0301665481123 -1.19084793256 -0.0431855709564 -0.078558615866 0.11918178161 0 0.0994832811996 0 1.98966562 5.06770267 0.59095501 0. 
2061 0.173501896994 1.16447652402 0.0273485042998 -1.16349942826 0.00120169200815 -0.0773569238579 0.132055005105 0 0.0977946671265 0 1.95589334 5.42857016 1.02781014 0. 
2062 0.067679773066 1.23215629709 0.0194053356416 -1.14409409262 -0.0155525346285 -0.0929094584864 0.134827000084 0 0.0965825634422 0 1.93165127 5.49354845 1.1473331 0. 
2063 0.0929687713106 1.3251250684 -0.0824897994025 -1.22658389202 -0.067732745278 -0.160642203764 0.140461117267 0 0.111548807598 0 2.23097615 5.88706563 0.86736929 0. 
2064 -0.0436576638137 1.28146740459 -0.0987010938118 -1.32528498583 -0.0842280605387 -0.244870264303 0.140631918256 0 0.118552110925 0 2.37104222 5.99723921 0.66239422 0. 
2065 -0.198231794128 1.08323561046 -0.0104508780072 -1.33573586384 0.0311565342755 -0.213713730027 0.137645569839 0 0.10946564658 0 2.18931293 5.77135179 0.8453977 0. 
2066 -0.21657717107 0.86665843939 0.00593593945856 -1.32979992438 -0.028351774488 -0.242065504515 0.13681648721 0 0.10563520167 0 2.11270403 5.68902264 0.93543857 0. 
2067 0.0807487781064 0.947407217496 -0.035605644774 -1.36540556915 -0.0430329110955 -0.285098415611 0.14720525472 0 0.114903771769 0 2.29807544 6.13971422 0.96904449 0. 
2068 0.107334099345 1.05474131684 -0.00667547111412 -1.37208104026 -0.0284914426261 -0.313589858237 0.153125980116 0 0.114453355365 0 2.28906711 6.31057973 1.16017874 0. 
2069 -0.00957304653599 1.0451682703 -0.018435382208 -1.39051642247 -0.116096872422 -0.429686730659 0.154281392595 0 0.11556976719 0 2.31139534 6.36198829 1.16134876 0. 
2070 0.14860321098 1.19377148128 0.0515566796115 -1.33895974286 -0.0221799522993 -0.451866682958 0.163365456868 0 0.109224179097 0  2.18448358  6.53932639  1.62423833  0. 
